land_owned,land_under_cultivation,land_lost_percent,cause_land_loss,land_type,annual_revenue,annual_expenses,net_profit,profit_satisfaction,profit_trend,income_stability,seed_cost_burden,fertilizer_cost_burden,pesticide_cost_burden,livestock_feed_cost_burden,msp_satisfaction,dairy_price_satisfaction,price_fairness,support_received_count,support_consistency,compensation_satisfaction,irrigation_source,water_availability,water_stability,labour_availability,labour_cost_burden,livestock_owned,livestock_operating_cost,livestock_profitability,vet_expenditure,future_farming_confidence,children_interested,education_level,health_expenses,marital_disputes,chronic_illness,education_expenses,marriage_expenses,unemployment,alternative_income_source,pest_attack_frequency,livestock_disease,crop_failure_frequency,lower_output_price,high_farm_expenses,informal_debt,PFDI
19.352465823520763,18.97094594320452,51.23957592679836,1,0,552384.1089749876,264615.08121553424,287769.0277594534,5,3,5,2,4,2,4,5,1,4,1,5,4,0,1,3,3,2,1,4,4,3,4,0,4,1,0,0,3,5,0,0,2,1,1,4,2,1,0.38758501018068703
34.527418299095686,26.795382686152337,8.542676439134517,0,0,2737029.166028468,1585807.3033245888,1151221.8627038791,4,2,2,4,5,2,2,4,2,2,5,4,4,0,5,5,2,5,1,2,1,4,4,1,5,1,0,0,5,1,0,0,1,1,1,4,3,0,0.4219632520675592
35.63600984853324,31.773168557103926,53.9889242680162,0,0,436020.27262287616,384374.41820630163,51645.854416574526,4,2,1,5,3,4,3,3,1,3,4,3,1,0,2,3,1,2,1,4,5,3,1,1,5,4,1,0,5,3,0,1,5,1,3,3,4,1,0.5323314193463358
6.16921873168326,4.828115888563612,15.290830605178352,0,2,1040600.5609152945,531792.6494831434,508807.9114321511,1,3,1,1,1,3,1,4,5,1,2,3,1,1,5,1,3,2,1,3,1,4,1,1,1,2,1,1,2,3,0,0,1,1,1,3,1,1,0.5807678239740024
25.631272138214214,15.906549635978092,19.5052524965628,3,0,520195.12906454696,361393.27898083895,158801.850083708,4,3,3,3,1,5,4,2,3,1,0,4,3,1,5,3,4,4,0,4,3,2,3,0,3,4,1,0,4,1,0,1,2,1,1,3,4,0,0.4878078778461931
33.33921825567477,30.901750671761295,38.864056811962364,1,0,369998.0266371077,332483.14194192237,37514.88469518535,5,3,1,1,3,3,3,4,1,4,2,1,4,1,4,3,1,3,0,5,2,2,2,1,3,5,0,1,1,4,0,1,5,1,4,3,1,1,0.5248761451271478
28.847121563438108,18.389171904048393,25.740106214160345,0,0,2921730.608782092,1889041.601152676,1032689.0076294162,3,3,2,5,1,4,1,5,4,5,2,4,3,3,1,1,4,4,1,5,5,3,4,0,5,5,0,1,5,3,1,0,4,0,5,5,1,1,0.44285490840741826
20.339881873664137,19.072407347625752,65.10117843675823,0,0,2046316.1987897467,1287794.6485604579,758521.5502292889,3,2,2,2,1,1,1,3,5,2,6,2,3,1,1,5,4,2,0,1,4,5,4,0,4,3,0,0,4,2,1,1,3,0,2,5,2,1,0.5650597993243678
2.494512247013422,1.5339735539035269,57.58203924617608,0,0,1614505.4541589327,1348106.849943981,266398.6042149516,4,1,4,5,4,3,4,5,2,4,1,3,1,3,3,4,2,2,0,2,5,1,4,0,1,2,1,0,2,1,1,0,5,0,5,5,5,0,0.5564287450609615
8.77367593448206,5.685919832140387,23.93157667014811,0,0,1003098.5972347532,942667.1873740924,60431.40986066079,5,2,2,5,4,1,5,2,2,5,3,2,4,2,2,2,3,2,1,1,5,5,4,1,2,1,1,1,3,4,1,1,2,0,4,1,1,0,0.49168025561112244
27.735222676480813,27.08582805128343,27.0271846460542,3,2,667794.2908889597,323666.9712665653,344127.31962239434,2,1,3,2,3,1,2,5,2,2,1,2,3,0,4,2,5,2,0,3,5,4,1,0,5,1,1,1,5,1,1,1,3,0,3,4,2,0,0.5523411570037497
